Firm,Website,Firm's Investment Category,HQ
BlueRun Ventures,www.brv.com,"Social, Media, Enterprise, E-Commerce, Mobile, Consumer","Menlo Park, California, United States"
Blumberg Capital,www.blumbergcapital.com,"Security, Social, AI/ML, E-Commerce, Finance, SaaS, Enterprise","San Francisco, California, United States"
Blume Ventures,blume.vc,"Mobile, Enterprise, E-Commerce, Social, Consumer","Mumbai, Maharashtra, India"
Boldstart Ventures,www.boldstart.vc,"Social, Big Data, SaaS, Mobile, Enterprise","New York, New York, United States"
Bolt,bolt.io,"Mobile, Robotics, Healthcare, Hardware, Enterprise, IoT","San Francisco, California, United States"
Bonfire Ventures,www.bonfirevc.com,"E-Commerce, SaaS, Mobile, Healthcare, Social, Transportation, Consumer","Los Angeles, California, United States"
Bowery Capital,bowerycap.com,"Marketplace, SaaS, AI/ML, Big Data, Enterprise, Mobile","New York, New York, United States"
Braemar Energy Ventures,www.braemarenergy.com,"Hardware, Healthcare, Life Sci., Clean Tech, Energy","New York, New York, United States"
Brainchild Holdings,brainchild.co,"Marketplace, SaaS, Social, Life Sci., Mobile, E-Commerce, Healthcare","Newtown, Pennsylvania, United States"
Breyer Capital,breyercapital.com,"Marketplace, Finance, Social, Healthcare, Mobile, Consumer, Enterprise","Menlo Park, California, United States"
Brightspark Ventures,brightspark.com,"Enterprise, Social, Big Data, Sports, Mobile","Montr茅al, Quebec, Canada"
Business Growth Fund,www.bgf.co.uk,"Mobile, Retail, Social, Food & Drink, Energy, Healthcare","Birmingham, Birmingham, United Kingdom"
Caffeinated Capital,caffeinatedcapital.com,"Blockchain, AI/ML, Big Data, Mobile, SaaS, Enterprise, Finance","San Francisco, California, United States"
Canaan Partners,www.canaan.com,"Mobile, E-Commerce, Life Sci., Healthcare, Enterprise, Consumer","Menlo Park, California, United States"
Canary,canary.com.br,"Hardware, Security, Enterprise",
Canvas Ventures,www.canvas.vc,"Finance, Big Data, Marketplace, SaaS, Healthcare, Enterprise, Mobile","Portola Valley, California, United States"
CapHorn Invest,www.caphorninvest.com,"Enterprise, Mobile, E-Commerce, SaaS, Social, AI/ML, Consumer","Paris, Ile-de-France, France"
CapitalPitch,capitalpitch.com,"Media, AI/ML, Life Sci., Healthcare, Social","Sydney, New South Wales, Australia"
Charlotte Street Capital,www.charlottestreetcapital.com,"Travel, Finance, AI/ML, SaaS, Mobile, Enterprise, Social","London, England, United Kingdom"
Cherry Tree Investments,cherrytree.vc,"Enterprise, Hardware, Gaming, Mobile, Healthcare, E-Commerce, AR/VR","Los Angeles, California, United States"
Cherry Ventures,www.cherry.vc,"Energy, Healthcare, Social, Marketplace, Mobile, E-Commerce, Finance","Berlin, Berlin, Germany"
Cherubic Ventures,cherubic.com,"Healthcare, AI/ML, Mobile, Enterprise, Social, E-Commerce, Consumer","Taipei, T'ai-pei, Taiwan"
Chicago Ventures,chicagoventures.com,"Healthcare, Retail, SaaS, Enterprise, E-Commerce, Marketplace, Finance","Chicago, Illinois, United States"
Comet Labs,cometlabs.io,"Enterprise, Big Data, Hardware, Robotics, AI/ML","San Francisco, California, United States"
Commerce Ventures,commercevc.com,"SaaS, Retail, Enterprise, Finance, E-Commerce, Mobile, Consumer","San Francisco, California, United States"
