Firm,Website,Firm's Investment Category,HQ
Jungle Ventures,www.jungle-ventures.com,"Enterprise, Marketplace, Big Data, Finance, Healthcare, Mobile, E-Commerce","Singapore, Central Region, Singapore"
K2VC,www.k2vc.com,"Mobile, Transportation, Finance, E-Commerce, Consumer","Chaoyang, Liaoning, China"
Kaedan Capital,kaedan.com,"Finance, Gaming, Media, Retail, Big Data, SaaS, E-Commerce","Tel Aviv, Tel Aviv, Israel"
Kairos,kairoshq.com,"Food & Drink, Real Estate, AI/ML, Media, Delivery, Mobile, Healthcare","New York, New York, United States"
Kalaari Capital,www.kalaari.com,"Finance, Social, Healthcare, E-Commerce, Media, Enterprise, Mobile","Bangalore, Karnataka, India"
Khosla Ventures,www.khoslaventures.com,"Energy, Mobile, Healthcare, Social, Enterprise, AI/ML, Big Data","Menlo Park, California, United States"
Kickstart Seed Fund,www.kickstartseedfund.com,"Social, Healthcare, Mobile, E-Commerce, Finance, Big Data, SaaS","Salt Lake City, Utah, United States"
Kinetic Ventures,www.kineticventures.com,"Enterprise, SaaS, Hardware, Energy, Mobile","Chevy Chase, Maryland, United States"
Kleiner Perkins Caufield & Byers,www.kpcb.com,"E-Commerce, Mobile, Healthcare, Enterprise, Life Sci., Social, Consumer","Menlo Park, California, United States"
Korelya Capital,www.korelyacapital.com,"Gaming, Energy, AI/ML, Finance, Blockchain, IoT, Big Data","Paris, Ile-de-France, France"
LAUNCHub Ventures,www.launchub.vc,"Marketplace, Media, Mobile, SaaS, Big Data, Social, Enterprise","Sofia, Grad Sofiya, Bulgaria"
Lewis & Clark Ventures,lewisandclarkventures.com,"Gaming, Big Data, E-Commerce, Healthcare, Life Sci., Consumer","St Louis, Missouri, United States"
Lifeline Ventures,www.lifelineventures.com,"Enterprise, SaaS, Gaming, Healthcare, Life Sci., AI/ML, E-Commerce","Helsinki, Southern Finland, Finland"
Lightspeed Venture Partners,lsvp.com,"Big Data, Social, Mobile, Enterprise, E-Commerce, Consumer","Menlo Park, California, United States"
LionBird,lionbird.com,"Mobile, Healthcare, SaaS, Finance, Enterprise","Tel Aviv, Tel Aviv, Israel"
Liquid2 Ventures,liquid2.vc,"Energy, AI/ML, Finance, Enterprise, SaaS, Healthcare","San Francisco, California, United States"
LiveOak Venture Partners,liveoakvp.com,"Mobile, Finance, Healthcare, Real Estate, Social, AI/ML, Security","Austin, Texas, United States"
LocalGlobe,localglobe.vc,"SaaS, Finance, Enterprise, Social, Mobile, E-Commerce, Consumer","London, England, United Kingdom"
Loudspring,loudspring.earth,,"Helsinki, Southern Finland, Finland"
Loup Ventures,loupventures.com,"Media, Gaming, AR/VR, Social, Big Data, Healthcare, Life Sci.","Minneapolis, Minnesota, United States"
Lowercase Capital,lowercasecapital.com,"SaaS, Mobile, Enterprise, Social, Media, Transportation, E-Commerce","Los Angeles, California, United States"
Lumia Capital,lumiacapital.com,"Big Data, Marketplace, Finance, E-Commerce, Mobile, SaaS, Social","San Francisco, California, United States"
Lux Capital,www.luxcapital.com,"AR/VR, Robotics, Big Data, Enterprise, Healthcare, Life Sci., AI/ML","New York, New York, United States"
Madrona Venture Group,www.madrona.com,"Social, Big Data, AI/ML, Enterprise, SaaS, E-Commerce, Mobile","Seattle, Washington, United States"
Magma Venture Partners,www.magmavc.com,"Media, SaaS, Security, AI/ML, Mobile, Enterprise","Tel Aviv, Tel Aviv, Israel"
Maniv Mobility,www.maniv.com,"Robotics, Transportation, SaaS, Automotive, AI/ML, Hardware, Enterprise","Tel Aviv, Tel Aviv, Israel"
Maryland Venture Fund,www.marylandventurefund.com,"Mobile, Enterprise, Security, Big Data, Life Sci., Healthcare","Columbia, Maryland, United States"
Matrix Partners,www.matrixpartners.com,"Big Data, SaaS, Social, E-Commerce, Enterprise, Mobile, Consumer","San Francisco, California, United States"
Matrix Partners China,www.matrixpartners.com.cn,"Gaming, Automotive, Media, Finance, Mobile, SaaS, E-Commerce","Beijing, Beijing, China"
Matrix Partners India,www.matrixpartners.in,"Education, Mobile, Finance, E-Commerce, Healthcare, Social, Consumer","Mumbai, Maharashtra, India"
Maveron,www.maveron.com,"Education, Retail, Mobile, Social, E-Commerce, Finance, Consumer","San Francisco, California, United States"
Mayfield Fund,www.mayfield.com,"Security, Big Data, E-Commerce, Social, Mobile, Healthcare, SaaS","Menlo Park, California, United States"
Menlo Ventures,www.menlovc.com,"AI/ML, Gaming, Real Estate, Finance, Enterprise, Delivery, Mobile","Menlo Park, California, United States"
Mercato Partners,mercatopartners.com,"Healthcare, Hardware, Enterprise, Energy, SaaS, Big Data","Salt Lake City, Utah, United States"
Merck Ventures,www.m-ventures.com,"Mobile, Life Sci., Healthcare","Yavne, HaMerkaz, Israel"
Merus Capital,www.meruscap.com,"Healthcare, Life Sci.","Palo Alto, California, United States"
Mighty Capital,mighty.capital,"Mobile, AI/ML, Enterprise, Energy, SaaS, Healthcare, Life Sci.","San Francisco, California, United States"
MindWorks Ventures,www.mindworks.vc,"E-Commerce, Travel, Blockchain, Enterprise, Finance, Mobile, Consumer","Grand Cayman, Midland, Cayman Islands"
MMC Ventures,www.mmcventures.com,"Enterprise, Finance, AI/ML, E-Commerce, Mobile, Healthcare, Consumer","London, England, United Kingdom"
Moderne Ventures,www.moderneventures.com,"Enterprise, Mobile, Real Estate, Finance, SaaS","Chicago, Illinois, United States"
Mohr Davidow Ventures,mdv.com,"SaaS, Mobile, Big Data, Healthcare, Finance, Enterprise, Life Sci.","San Mateo, California, United States"
Moment Ventures,www.momentventures.com,"Energy, Hardware, Robotics, Security, Enterprise, Mobile, AI/ML","Palo Alto, California, United States"
Monk’s Hill Ventures,www.monkshill.com,"AI/ML, Gaming, Real Estate, Finance, Enterprise, Delivery, Mobile","Singapore, Asia"
Moonshots Capital,www.moonshotscapital.com,"SaaS, Security, Healthcare, Energy, Social, Enterprise, Consumer","Los Angeles, California, United States"
Morningside Venture Capital,www.morningsidevc.com,"Finance, AI/ML, E-Commerce, Healthcare, Life Sci., Enterprise, Consumer","Xuhui, Shanghai, China"
Mosaic Ventures,www.mosaicventures.com,"AI/ML, Big Data, Blockchain, Enterprise, Marketplace, E-Commerce, Transportation","London, England, United Kingdom"
Mosley Ventures,www.mosleyventures.com,"E-Commerce, Big Data, IoT, SaaS, Security, Enterprise, Consumer","Atlanta, Georgia, United States"
Muse Capital,musecapital.vc,Transportation,"Los Angeles, California, United States"
Naspers,www.naspers.com,"Social, Finance, Big Data, Mobile, E-Commerce, Retail, Consumer","Cape Town, NA - South Africa, South Africa"
NCT Ventures,nctventures.com,"Energy, E-Commerce, Healthcare, SaaS, Big Data, Enterprise, Consumer","Columbus, Ohio, United States"
New Enterprise Associates,www.nea.com,"E-Commerce, Life Sci., Enterprise, Healthcare, Mobile, Big Data, SaaS","Menlo Park, California, United States"
New Markets Venture Partners,newmarketsvp.com,"Big Data, Energy, Government, SaaS, Finance, Education, Enterprise","Fulton, Maryland, United States"
Next Coast Ventures,www.nextcoastventures.com,"AI/ML, Big Data, Security, Social, SaaS, Healthcare, Mobile","Austin, Texas, United States"
NextGen Venture Partners,nextgenvp.com,"Healthcare, Mobile, SaaS, Social, E-Commerce, Enterprise, Consumer","Washington, District of Columbia, United States"
NextView Ventures,nextviewventures.com,"Big Data, Social, SaaS, Enterprise, E-Commerce, Mobile, Consumer","Boston, Massachusetts, United States"
Nexus Venture Partners,nexusvp.com,"Enterprise, Mobile, SaaS, E-Commerce, Social, Big Data, Healthcare","Menlo Park, California, United States"
NGP Capital,www.ngpcap.com,"Healthcare, Media, Mobile, Social, Enterprise","Palo Alto, California, United States"
Northern Light Venture Capital,www.nlvc.com,"E-Commerce, Healthcare, Mobile, Enterprise, Consumer","Beijing, Beijing, China"
Northstar Ventures,www.northstarventures.co.uk,"Big Data, E-Commerce, SaaS, Media, Mobile, Enterprise, Healthcare","Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom"
Northzone,northzone.com,"Media, E-Commerce, Enterprise, Mobile, Finance, Social, Consumer","Stockholm, Stockholms Lan, Sweden"
Norwest Venture Partners,www.nvp.com,"Social, Security, Big Data, E-Commerce, Mobile, Healthcare, SaaS","Palo Alto, California, United States"
Notation Capital,notation.vc,"Enterprise, Mobile, Blockchain","Brooklyn, New York, United States"
Novartis Venture Fund,www.nvfund.com,"Healthcare, Life Sci.","Basel, Basel-Stadt, Switzerland"
Oak HC/FT,oakhcft.com,"Consumer, AI/ML, Finance, Enterprise, Healthcare, Big Data, Life Sci.","Greenwich, Connecticut, United States"
Octopus Ventures,www.octopusventures.com,"Enterprise, Finance, E-Commerce, Energy, Mobile, Consumer","London, England, United Kingdom"
OMERS Ventures,www.omersventures.com,"E-Commerce, SaaS, Big Data, Enterprise, Mobile, Consumer","Toronto, Ontario, Canada"
Omnes Capital,www.omnescapital.com,"Enterprise, E-Commerce, Mobile, Healthcare, Life Sci., Consumer","Paris, Ile-de-France, France"
OpenOcean,openocean.vc,"E-Commerce, Mobile, AI/ML, SaaS, Big Data, Enterprise, Consumer","Helsinki, Southern Finland, Finland"
Openspace Ventures,www.openspace.vc,"Finance, Healthcare, Food & Drink, Transportation, SaaS, E-Commerce, Big Data","Singapore, Central Region, Singapore"
Oriza Ventures,www.orizaventures.com,"Social, IoT, Big Data, AI/ML, Mobile, Healthcare, Life Sci.","Santa Clara, California, United States"
OS Fund,osfund.co,"AI/ML, Healthcare, Life Sci., Mobile, Robotics",
OVO Fund,www.ovofund.com,,"Palo Alto, California, United States"
Oxeon Partners,www.oxeonpartners.com,"Finance, Enterprise, Mobile, Healthcare","New York, New York, United States"
Pantera Capital,www.panteracapital.com,"SaaS, Mobile, Energy, Finance, Blockchain, Enterprise","Menlo Park, California, United States"
Parkwalk Advisors Ltd,parkwalkadvisors.com,"Mobile, AI/ML, Healthcare, Energy, Life Sci.","London, England, United Kingdom"
Partech Ventures,partechpartners.com,"E-Commerce, Big Data, Mobile, Enterprise, Consumer","Paris, Ile-de-France, France"
Passion Capital,www.passioncapital.com,"Mobile, Big Data, SaaS, Social, AI/ML, Enterprise, Finance","London, England, United Kingdom"
Peak Ventures,peakventures.vc,"Social, Mobile, SaaS, Healthcare, Finance, Enterprise","Provo, Utah, United States"
Pear Ventures,www.pear.vc,"E-Commerce, AI/ML, Finance, SaaS, Healthcare, Enterprise, Big Data","Palo Alto, California, United States"
Pelion Venture Partners,pelionvp.com,"Mobile, Security, Big Data, SaaS, AI/ML, Healthcare, Enterprise","Salt Lake City, Utah, United States"
Pi Ventures,www.piventures.in,,"Bangalore, Karnataka, India"
Picus Capital,www.picuscap.com,"Big Data, Finance, SaaS, Mobile, Marketplace, Enterprise, Social",
Pillar,pillar.vc,,
Pitango Venture Capital,www.pitango.com,"Enterprise, Media, Big Data, Healthcare, Life Sci., Mobile","Herzliya, Tel Aviv, Israel"
Piton Capital,www.pitoncap.com,"SaaS, Energy, Automotive, Enterprise, Real Estate, Marketplace, Mobile","London, England, United Kingdom"
Playground Global,playground.global,"AI/ML, Hardware, Security, Robotics, Space, Mobile, Enterprise","Palo Alto, California, United States"
Plum Alley,plumalley.co,"SaaS, AI/ML, E-Commerce, Retail, Security, Energy, Consumer","New York, New York, United States"
Point Nine Capital,www.pointninecap.com,"Social, E-Commerce, Enterprise, Finance, Mobile, SaaS, Consumer","Berlin, Berlin, Germany"
Point72 Ventures,p72.vc,"Enterprise, Robotics, Real Estate, Automotive, Healthcare, Finance, Energy","New York, New York, United States"
Polaris Partners,www.polarispartners.com,"Mobile, Life Sci., Enterprise, Healthcare","Boston, Massachusetts, United States"
Polymath Ventures,polymathv.com,,"Bogotá, Distrito Especial, Colombia"
Portag3 Ventures,p3vc.com,"Mobile, Healthcare, SaaS, Finance, Enterprise","Canada, North America"
Praetura Capital,www.praeturaaf.com,"Delivery, Retail, AI/ML, Healthcare","Manchester, Manchester, United Kingdom"
Precursor Ventures,precursorvc.com,"Social, SaaS, AI/ML, Mobile, Marketplace, Healthcare, Consumer","San Francisco, California, United States"
"Prelude Ventures, LLC",www.preludeventures.com,"Energy, Big Data, Clean Tech, Finance, Food & Drink","San Francisco, California, United States"
Primary Venture Partners,www.primary.vc,"Mobile, E-Commerce, Retail, SaaS, Social, Finance, Enterprise","New York, New York, United States"
Pritzker Group Venture Capital,www.pritzkergroup.com,"SaaS, Healthcare, Social, Enterprise, E-Commerce, Mobile, Big Data","Chicago, Illinois, United States"
Project A,www.project-a.com,"Healthcare, Social, Enterprise, E-Commerce, SaaS, Consumer","Berlin, Berlin, Germany"
QED Investors,www.qedinvestors.com,"Mobile, Healthcare, Social, Finance, Big Data","Alexandria, Virginia, United States"
Qiming Venture Partners,www.qimingvc.com,"E-Commerce, Life Sci., Mobile, Healthcare, Consumer","Shanghai, Shanghai, China"
Quona Capital,quona.com,"SaaS, Healthcare, Mobile, Finance, Enterprise","Washington, District of Columbia, United States"
Real Ventures,realventures.com,"Enterprise, Social, AI/ML, Big Data, SaaS, Mobile","Montréal, Quebec, Canada"
Redpoint,www.redpoint.com,"Media, Mobile, Social, Enterprise, Security, E-Commerce, SaaS","Menlo Park, California, United States"
Refactor Capital,www.refactor.com,"Big Data, AI/ML, SaaS, Healthcare, Finance, Mobile, Life Sci.","Burlingame, California, United States"
Reinventure Group,reinventure.com.au,"Big Data, AI/ML, E-Commerce, Healthcare, Mobile, Real Estate, Finance","Sydney, New South Wales, Australia"
Relay Ventures,relayventures.com,"Media, SaaS, Enterprise, Social, Mobile","Menlo Park, California, United States"
Rembrandt Venture Partners,rembrandtvc.com,"Security, Big Data, Social, Mobile, Enterprise, SaaS","San Francisco, California, United States"
Responder Ventures,www.respondercorp.com,"Government, Mobile, E-Commerce, AI/ML, Consumer, Enterprise","Jupiter, Florida, United States"
Rethink Impact,rethink.vc,"Marketplace, Life Sci., AI/ML, Healthcare, Government, Consumer, Education","Washington, District of Columbia, United States"
Revel Partners,www.revelpartners.com,"AI/ML, Media, SaaS, Enterprise, Big Data, Legal, Marketplace","New York, New York, United States"
Revolution,www.revolution.com,"Marketplace, Finance, Big Data, Mobile, Social, Enterprise, E-Commerce","Washington, District of Columbia, United States"
Ribbit Capital,ribbitcap.com,"Mobile, Healthcare, Finance, Blockchain","Palo Alto, California, United States"
Ridge Ventures (Formerly known as IDG Ventures USA),ridge.vc,"Big Data, Gaming, Mobile, SaaS, E-Commerce, Enterprise, Media","San Francisco, California, United States"
Rising Tide,rtf.vc,"Big Data, Life Sci., SaaS, AI/ML, Mobile, Robotics, Enterprise","Menlo Park, California, United States"
RiverPark Ventures,riverparkvc.com,"Social, Healthcare, Mobile, E-Commerce, Food & Drink, SaaS, Enterprise","New York, New York, United States"
Romulus Capital,romuluscap.com,"Big Data, Retail, E-Commerce, Healthcare, Mobile, Consumer","Cambridge, Massachusetts, United States"
RPM Ventures,rpmvc.com,"Enterprise, Big Data, Hardware, Energy, Mobile, Healthcare, Life Sci.","Ann Arbor, Michigan, United States"
Runa Capital,www.runacap.com,"Social, Mobile, Healthcare, Finance, SaaS, Enterprise","Palo Alto, California, United States"
Ruvento,www.ruvento.com,"Healthcare, Hardware, Space, Robotics, Life Sci., AI/ML","Singapore, Asia"
Saama Capital,www.saamacapital.vc,"Mobile, Finance, E-Commerce, Food & Drink, Enterprise, Healthcare, Consumer","Bangalore, Karnataka, India"
Saban Ventures,www.sabanventures.com,"Life Sci., Energy, Automotive, Robotics, AI/ML","Los Angeles, California, United States"
Sands Capital Ventures,sandscapitalventures.com,"Big Data, E-Commerce, Consumer, Healthcare, Life Sci., Mobile, Finance","Arlington, Virginia, United States"
Sapphire Ventures,sapphireventures.com,"Security, Mobile, Finance, Big Data, SaaS, Enterprise","Palo Alto, California, United States"
Scale Venture Partners,www.scalevp.com,"Life Sci., Security, Big Data, Enterprise, SaaS, Mobile, Healthcare","Foster City, California, United States"
Science,www.science-inc.com,"E-Commerce, Retail, Enterprise, Gaming, Mobile, Consumer, Marketplace","Santa Monica, California, United States"
Section 32,www.section32.com,"Finance, Mobile, Life Sci., Healthcare","San Diego, California, United States"
Seed Capital,www.seedcapital.dk,"Social, E-Commerce, Life Sci., Healthcare, Enterprise, Mobile, Consumer","Lyngby, Hovedstaden, Denmark"
Seedcamp,seedcamp.com,"Social, Big Data, SaaS, E-Commerce, Enterprise, Finance, Mobile","London, England, United Kingdom"
SeedPlus,www.seedplus.com,"Enterprise, E-Commerce, Finance, SaaS, Mobile, Security, Consumer","Singapore, Central Region, Singapore"
Sequoia Capital,www.sequoiacap.com,"Big Data, Finance, Healthcare, Mobile, E-Commerce, Social, Enterprise","Menlo Park, California, United States"
Seraphim Capital,www.seraphimcapital.co.uk,"Space, IoT, Robotics","London, England, United Kingdom"
Serra Ventures,serraventures.com,"Healthcare, Mobile, Enterprise, SaaS, Big Data, Life Sci.","Champaign, Illinois, United States"
Service Provider Capital,serviceprovidercapital.com,"Marketplace, Enterprise, Mobile, Big Data, SaaS, Healthcare, AI/ML","Golden, Colorado, United States"
Seven Peaks Ventures,sevenpeaksventures.com,"Social, SaaS, Mobile, Enterprise, Healthcare, Finance, Real Estate","Bend, Oregon, United States"
Seventure Partners,www.seventure.fr,"Enterprise, E-Commerce, Life Sci., Mobile, Healthcare, Consumer","Paris, Ile-de-France, France"
Shasta Ventures,shastaventures.com,"Mobile, Enterprise, SaaS, Social, E-Commerce, Consumer","Menlo Park, California, United States"
Sherpa Capital,sherpa.com,"Healthcare, E-Commerce, Mobile, Enterprise, Social, Marketplace, Finance","San Francisco, California, United States"
Sierra Ventures,www.sierraventures.com,"E-Commerce, Big Data, Security, Mobile, SaaS, Enterprise, Social","San Mateo, California, United States"
Signia Venture Partners,signiaventurepartners.com,"E-Commerce, Media, Social, Enterprise, Gaming, Mobile, Consumer","Menlo Park, California, United States"
Sinai Ventures,sinaivc.com,"Social, Finance, Marketplace, Big Data, Enterprise, SaaS, Mobile","Palo Alto, California, United States"
Sistema Asia Fund,sistemaasiacapital.com,"Healthcare, Enterprise, Life Sci., Finance, Security, Mobile, E-Commerce","Singapore, Central Region, Singapore"
SixThirty CYBER,sixthirtycyber.com,"AI/ML, Mobile, Big Data, Blockchain, Energy, Enterprise, Finance","St Louis, Missouri, United States"
Social Capital,www.socialcapital.com,"SaaS, Finance, Healthcare, Social, Mobile, Enterprise","Palo Alto, California, United States"
Social Leverage,www.socialleverage.com,"Big Data, Finance, Social, Mobile, Enterprise, SaaS","Phoenix, Arizona, United States"
Spark Capital,sparkcapital.com,"Finance, Social, E-Commerce, Enterprise, SaaS, Healthcare, Mobile","Boston, Massachusetts, United States"
Sparkland Capital,sparklandcap.com,"Mobile, IoT, SaaS, Security, E-Commerce, AR/VR, AI/ML","San Jose, California, United States"
Speedinvest,speedinvest.com,"AI/ML, E-Commerce, Big Data, Finance, Enterprise, Mobile, Social","Vienna, Wien, Austria"
Spider Capital,www.spidercp.com,"SaaS, Enterprise, Consumer, AI/ML, Big Data","San Francisco, California, United States"
Spiral Ventures Pte Ltd.,spiral-ventures.com,"Healthcare, Big Data, SaaS, Mobile, E-Commerce, Enterprise, Consumer","Singapore, Central Region, Singapore"
Spire Ventures,www.spireventures.co.uk,"AI/ML, Government, Education, Enterprise","London, England, United Kingdom"
State of Mind Ventures,www.somv.com,"Big Data, Space, Life Sci., E-Commerce, Enterprise, AI/ML, Security","Herzliya, Tel Aviv, Israel"
Stellaris Venture Partners,www.stellarisvp.com,"Marketplace, Consumer, Enterprise, E-Commerce, Healthcare","Bangalore, Karnataka, India"
Storm Ventures,www.stormventures.com,"Security, Social, Mobile, SaaS, Big Data, Enterprise","Menlo Park, California, United States"
Super Ventures,www.superventures.com,"Gaming, Automotive, Enterprise, Big Data, Transportation, Travel, AR/VR","San Francisco, California, United States"
Sutter Hill Ventures,https://twitter.com/shv/lists/partners/members,"SaaS, Security, Healthcare, Life Sci., Big Data, Mobile, Enterprise","Palo Alto, California, United States"
SV Angel,svangel.com,"E-Commerce, SaaS, Enterprise, Big Data, Social, Mobile, Consumer","San Francisco, California, United States"
SV Health Investors,svhealthinvestors.com,"Healthcare, Life Sci.","Boston, Massachusetts, United States"
SWaN & Legend Venture Partners,www.swanandlegend.com,"Social, E-Commerce, Sports, Education, Enterprise, Consumer","Leesburg, Virginia, United States"
Tandem Capital,www.tandemcap.com,"IoT, Big Data, Social, Enterprise, Mobile","Burlingame, California, United States"
Target Global,www.targetglobal.vc,"Travel, Mobile, E-Commerce, Enterprise, Finance, SaaS, Marketplace","Berlin, Berlin, Germany"
Target Partners,www.targetpartners.de,"Hardware, SaaS, Big Data, Mobile, Enterprise","Munich, Bayern, Germany"
TCV,www.tcv.com,"Mobile, E-Commerce, SaaS, Enterprise, Finance, Consumer","Palo Alto, California, United States"
TenOneTen Ventures,tenoneten.net,,"Los Angeles, California, United States"
The Impact Engine,theimpactengine.com,"Energy, Enterprise, Big Data, Healthcare, SaaS, Education, Mobile","Chicago, Illinois, United States"
The Rise Fund,therisefund.com,"Energy, Healthcare, Education, Big Data, Government, Mobile, Finance",
The Venture Reality Fund,www.thevrfund.com,"Media, Social","Palo Alto, California, United States"
TLV Partners,www.tlv.partners,"Big Data, Mobile, Healthcare, Consumer, AI/ML, Security, Enterprise","Tel Aviv, Tel Aviv, Israel"
Toba Capital,tobacapital.com,"AI/ML, Finance, Big Data, SaaS, Enterprise, Security, Mobile","San Francisco, California, United States"
Transmedia Capital,transmediacapital.com,"Consumer, Big Data, Enterprise, Mobile, Social",
Tribeca Venture Partners,tribecavp.com,"Mobile, Big Data, SaaS, Finance, Enterprise, E-Commerce, Media","New York, New York, United States"
Trinity Ventures,www.trinityventures.com,"Enterprise, Big Data, E-Commerce, Mobile, SaaS, Consumer","Menlo Park, California, United States"
Troy Capital Partners,troycapitalpartners.com,"Big Data, Mobile, Enterprise, Media, Transportation, Social, E-Commerce","Los Angeles, California, United States"
True Ventures,trueventures.com,"SaaS, Enterprise, Big Data, Mobile, Social","Palo Alto, California, United States"
TTV Capital,www.ttvcapital.com,"Social, Finance, Security, Big Data, SaaS, Mobile, Media","Atlanta, Georgia, United States"
Two Sigma Ventures,twosigmaventures.com,"Enterprise, Robotics, Big Data, Mobile, AI/ML, Healthcare","New York, New York, United States"
Ulu Ventures,www.uluventures.com,"Government, Education, Marketplace, SaaS, Big Data, Mobile, Enterprise","Palo Alto, California, United States"
Uncork Capital,uncorkcapital.com,"SaaS, Healthcare, Big Data, Social, Enterprise, E-Commerce, Mobile","Palo Alto, California, United States"
Unicorn India Ventures,www.unicornivc.com,"E-Commerce, Consumer, Finance, AI/ML, Mobile, Big Data, Life Sci.","Mumbai, Maharashtra, India"
Unilever Ventures,www.unileverventures.com,"Mobile, Life Sci., Healthcare, Food & Drink, Enterprise, E-Commerce, Consumer","London, England, United Kingdom"
Union Square Ventures,www.usv.com,"Healthcare, E-Commerce, Mobile, Enterprise, Finance, Social, Consumer","New York, New York, United States"
Unitus Seed Fund,unitus.vc,"Travel, Transportation, Education, Healthcare","Seattle, Washington, United States"
UP2398,www.up2398.com,"Blockchain, Enterprise, Education, Security, , Consumer, ","Redwood City, California, United States"
Updata Partners,updata.com,"Finance, Mobile, Social, SaaS, Big Data, Enterprise, Security","Washington, District of Columbia, United States"
Upfront Ventures,upfront.com,"E-Commerce, Social, Big Data, Enterprise, Mobile, Finance, Consumer","Santa Monica, California, United States"
UpHonest Capital,www.uphonestcapital.com,"Healthcare, Enterprise, SaaS, Big Data, E-Commerce, Mobile, Marketplace","San Francisco, California, United States"
USVP,www.usvp.com,"Social, Security, Life Sci., Big Data, Mobile, Enterprise, Healthcare",
Valar Ventures,www.valarventures.com,"Media, Healthcare, AI/ML, SaaS, Finance, Enterprise","New York, New York, United States"
Vela Partners,vela.partners,"SaaS, Enterprise","San Francisco, California, United States"
Venrock,www.venrock.com,"Social, Enterprise, Mobile, Healthcare, Life Sci.","Palo Alto, California, United States"
Ventech,www.ventechvc.com,"Enterprise, E-Commerce, Healthcare, Life Sci., Social, Media, Mobile","Paris, Ile-de-France, France"
VenturEast,www.ventureast.net,"Finance, Education, Healthcare, Mobile, Big Data","Chennai, Tamil Nadu, India"
Versant Ventures,www.versantventures.com,"Life Sci., Healthcare","Menlo Park, California, United States"
Vertex Ventures,vertexventures.cn,"Mobile, E-Commerce, Security, Healthcare, SaaS, Enterprise, Consumer","Singapore, Central Region, Singapore"
Vestigo Ventures,www.vestigoventures.com,"Energy, Enterprise, SaaS, Finance","Cambridge, Massachusetts, United States"
Vickers Venture Partners,www.vickersventure.com,"Education, Government, E-Commerce, Energy, Social, Finance, Mobile","Singapore, Central Region, Singapore"
Village Capital,vilcap.com,"Social, SaaS, Big Data, Mobile, Education, Finance, Healthcare","Washington, District of Columbia, United States"
Viola Ventures,www.viola-group.com,"Security, Enterprise, Big Data, Finance, SaaS, Mobile","Herzliya, Tel Aviv, Israel"
Volta Ventures,www.volta.ventures,"Finance, Big Data, Enterprise, Energy, Mobile, SaaS, E-Commerce","Gent, Oost-Vlaanderen, Belgium"
Vulcan Capital,capital.vulcan.com,"Mobile, Life Sci., Social, SaaS, Enterprise, Big Data","Seattle, Washington, United States"
Walden International,www.waldenintl.com,"Mobile, Enterprise, Finance, Hardware, Security","San Francisco, California, United States"
Wamda Capital,www.wamdacapital.com,"Retail, Mobile, Marketplace, Social, E-Commerce, Consumer","Dubai, Dubai, United Arab Emirates"
Wavemaker Partners,wavemaker.vc,"Enterprise, Mobile, SaaS, E-Commerce, Social, Consumer","Santa Monica, California, United States"
White Star Capital,whitestarvc.com,"Big Data, Social, Finance, E-Commerce, Mobile, Enterprise, AI/ML","London, England, United Kingdom"
WI Harper Group,wiharper.com,"Social, Media, Life Sci., Healthcare, Mobile, Enterprise, Education","San Francisco, California, United States"
Wing Venture Capital,wing.vc,"AI/ML, Security, Enterprise, SaaS, Mobile, Big Data","Menlo Park, California, United States"
WndrCo LLC,www.wndrco.com,"Security, Robotics, Food & Drink, Social, Media, Mobile, AI/ML","Beverly Hills, California, United States"
WorldQuant Ventures LLC,worldquantventures.com,"SaaS, Social, Energy, Mobile, Enterprise, Finance, Big Data","Old Greenwich, Connecticut, United States"
Xfund,xfund.com,"Automotive, Finance, Transportation","Palo Alto, California, United States"
XSeed Capital,xseedcap.com,"Finance, AI/ML, SaaS, Healthcare, Social, Big Data, Enterprise","Portola Valley, California, United States"
Zetta Venture Partners,zettavp.com,"Mobile, Big Data, Enterprise, SaaS, AI/ML","San Francisco, California, United States"
ZhenFund,www.zhenfund.com,"Enterprise, E-Commerce, AI/ML, Mobile, Big Data, Education, Consumer","Beijing, Beijing, China"
